id,company_id,position_title,salary_range,salary_min,salary_max,tech_keywords,headcount,source_url,source_name,crawled_at
23032,1,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 14:32:27.813425
23033,2,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23034,3,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23035,4,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23036,4,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23037,5,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23038,5,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23039,6,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23040,7,AI算法工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23041,8,AI算法工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23042,9,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23043,10,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23044,10,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23045,11,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23046,12,安全工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23047,13,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23048,13,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23049,14,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23050,14,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23051,15,AI算法工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23052,112,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23053,112,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23054,114,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23055,114,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23056,132,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23057,208,软件开发工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23058,208,运维工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23059,212,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23060,212,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23061,213,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23062,213,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23063,214,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23064,214,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23065,215,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23066,215,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23067,216,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23068,217,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23069,217,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23070,218,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23071,218,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23072,219,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23073,219,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23075,221,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23076,221,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23077,222,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23078,223,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23079,224,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23080,224,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23081,225,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23082,225,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:12:51.556952
23083,226,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23084,227,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23085,228,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23086,228,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23087,229,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23088,230,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23089,231,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23090,232,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23091,233,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23092,234,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23093,235,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23095,237,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23096,238,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23097,239,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23098,240,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23099,240,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23100,241,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23101,242,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23102,243,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23103,244,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23104,245,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23105,246,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23108,248,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23109,249,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23110,250,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23111,251,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23112,252,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23113,253,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23114,254,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23115,255,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23116,256,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23117,257,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23119,259,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23120,260,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23121,261,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23122,262,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23123,263,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23124,264,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23125,265,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23126,265,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23127,266,云计算工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
23128,267,软件工程师,,,,,1,,websearch_inferred,2026-08-20 17:14:12.849496
